Day,Daily_Volume,Unique_Senders,Unique_Receivers,HHI_Senders
2022-05-05,5470.882066917254,34657,45594,0.009888511366760264
2022-05-06,5990.490142560721,33747,44102,0.01175913145251442
2022-05-07,4265.123422493324,31405,34645,0.019486708619796157
2022-05-08,6368.436336914086,32359,34361,0.01740427504352945
2022-05-09,11442.78575172083,41429,54731,0.013553910787154951
2022-05-10,13164.085990883756,52572,56012,0.01634633935719281
2022-05-11,21947.84966474516,47146,68035,0.0125303204125968
2022-05-12,33198.19719459662,70931,73292,0.013926656451275892
2022-05-13,15565.306085656966,58150,62931,0.023114019802780557
2022-05-14,10100.01911898874,43243,53134,0.09996359757799164
