Hour,Total_Volume,Avg_Tx,Median_Tx,Tx_Std,Tx_Count,Unique_Senders,Unique_Receivers,Large_Tx_Count,Volume_Per_Sender,Tx_Per_Sender,Volume_Change_Pct,TxCount_Change_Pct,is_stress_period
2022-05-05 00:00:00,63.730248806583,0.025791278351510724,0.0010652663159999999,0.17728212937603471,2471,1256,1645,55,0.050740643954285826,1.9673566878980893,,,False
2022-05-05 01:00:00,76.030571959057,0.026317262706492556,0.000990018595,0.19498373045633063,2889,1520,1828,63,0.050020113130958554,1.9006578947368422,19.300604317118932,16.916228247673004,False
2022-05-05 02:00:00,156.751279103695,0.062079714496512874,0.001088864564,0.440620003889627,2525,1285,1706,82,0.12198543120910117,1.9649805447470816,106.16874905019347,-12.599515403253726,False
2022-05-05 03:00:00,65.849348042669,0.031208221821170147,0.0016,0.18260425296513325,2110,1065,1519,54,0.061830373748984986,1.9812206572769953,-57.99118934199703,-16.43564356435644,False
2022-05-05 04:00:00,180.676941526083,0.07149859181879026,0.001059,0.7005084530935832,2527,1329,1730,77,0.1359495421565711,1.9014296463506395,174.37924124777683,19.76303317535546,False
2022-05-05 05:00:00,103.477149093343,0.025170797638857455,0.00134020103,0.14445016801947214,4111,2825,1901,83,0.03662907932507717,1.455221238938053,-42.72808238875088,62.6830233478433,False
2022-05-05 06:00:00,136.830003824802,0.0436459342343866,0.0015,0.281619208022507,3135,1720,2090,102,0.07955232780511744,1.822674418604651,32.23209667418705,-23.741182194113353,False
2022-05-05 07:00:00,179.033844472861,0.05544560064195138,0.001533484534,0.5203952300530199,3229,1760,2206,97,0.10172377526867103,1.834659090909091,30.843995811106662,2.998405103668267,False
2022-05-05 08:00:00,169.911572524633,0.04361179992932058,0.0015,0.3310483932756869,3896,2070,2637,125,0.08208288527760048,1.8821256038647343,-5.095277920823971,20.656550015484676,False
2022-05-05 09:00:00,262.227077237797,0.06320247703971969,0.00149,0.47277117110307,4149,2240,2719,145,0.11706565948115938,1.8522321428571429,54.33149922721159,6.493839835728954,False
2022-05-05 10:00:00,207.698290039973,0.05147417349193878,0.0013078287,0.7610210766067267,4035,2234,2626,113,0.09297148166516249,1.806177260519248,-20.794491466026344,-2.747650036153293,False
2022-05-05 11:00:00,111.481338279934,0.02721048041980327,0.001425,0.21257878465005928,4097,2197,2681,85,0.05074252994079836,1.864815657715066,-46.32534612659611,1.5365551425031043,False
2022-05-05 12:00:00,262.185633363529,0.06572715802545225,0.00185,1.0728210307797403,3989,1978,2663,127,0.13255087632129878,2.0166835187057632,135.18342837360873,-2.636075176958752,False
2022-05-05 13:00:00,391.591577886231,0.08095753109080649,0.001444764586,0.8817227388992707,4837,2347,3275,162,0.16684771107210525,2.0609288453344696,49.356611520844226,21.258460767109554,False
2022-05-05 14:00:00,372.206160058922,0.07182673872229293,0.0018825,0.609867542417639,5182,2522,3329,225,0.14758372722399762,2.0547184773988896,-4.950417455847589,7.13252015712218,False
